label_bullying	text_message
0	 Do you believe that God has a gender?
0	 Favourite movie of all time?
0	  eyes :p
0	  none
0	  probably
0	  FOldeD.
0	  iLyke dat
0	  randomly yes :)
0	  yes i have a best friend lol =]
0	  a sunrise in hot pink orange yellows and blues with a black tree across the skyline and hints of purple. its pretty sweet but it changes weekly usually :)
0	  LOVE ?
0	 If you had one day to live  what would you spend that day doing?
0	  yes :)
0	  Nope. I know a little thai and some spanish. haha go figure.Im seriously the whitest korean chick you'd ever meet :]
0	  Idk I think it swings both ways pretty strongly. The human race is never satisfied and I believe that both sexes have the tendencey to cheat. At all ages and for all reasons.
0	  Timmy. He held me down and tickled me
0	 im not the one who called you a whore either haha. i play soccer and run track and did dance for eight years and did gymnastics
0	 What would a chair look like if your knees bent the other way?
0	  formspringg haha noo..my boyfriend. Were always out staying busy.
0	 Would you rather be rich or famous?
0	  crude?
0	  Haha youu need a phone !(:
0	 you should ask her if shes still &quot;feelin it&quot; so you know for sure
0	 r Has anybody ever told you that &quot;you could do so much better&quot; about a person?
0	  Love them> i love cheese.
0	  I am Ashlee duh
0	 I don&;t know Tabitha in person): but Idc  I know deep down in my heart I&;ll love her for her <3
0	  haha hey
0	 How often do you think about touching other people&;s private parts?(Be Honest)
0	  Spontaneousness. As much as I love to get all dressed up and go out to a big super nice expensive restuarant  I'd much rather just be in comfy clothes  go out to grab some chipotle--eating outside of course :] then maybe to the drive in with a buncha snackies and a jug of tea :] lay together with my lovee under the stars and enjoy each other.
0	  hahahahahahaah thanks spency :DDDDD <3 you
0	  Ehh maybe.
0	  who are u?
0	 Have you ever slept with an object in your hand &amp; woken up &amp; its still there? Happened to me :))
0	 uhh i thought this was for questions sooooo heres a question i guess.haha icecream or brownies for the rest of your life? (only 1)
0	 Do you love Twilight as much as this? I bet this will be your new homepage. http://MyTwilightSearch.com
0	  Hmmm idk if i completely understand the question..
0	  For suree boo hit me up tonight ! Sikeee!<3
0	  hmmm probably buy a few things for me and one of my besties :D
0	 Do you like broccoli?
0	 What sitcom character reminds you of you?
0	  I like them. How'd you know?
0	 yup yup. same grade as you too.
0	 who is the love of your life?
0	 B3(kyy
0	  i wouldnt doubt it lol
1	 Do you lick dick?
0	  cuz they can be deep sleepers haha
0	  Food. :) hahaha
0	  dane cook
0	 Are one handed people offended when police tell them to put their hands up?
0	 Do you have any nicknames? If so what are they?
0	 would you rather have a third leg or a third arm?
0	 who d you like
0	 Name one household chore you would never want to do again
1	 On a 1 to 10 how mad would you be at me if I were to rape you?
0	  because your supposed to look up and be aware something is going to potentially hit you in the head..therefore i do look up just quickly and aware!! you should do the same. think about it! :)
0	  everyone would learn true kindness.
0	  a dino
0	 What is the first thing you do when you wake up in the morning?
0	  i dont do chocolate much
0	 What&;s your favorite place to go in the town you live?
0	  hot but sometimes i like cold. depends on the mood i guess
0	 Are you due sometime this year for a doctor&;s visit?
0	  tell them. haha
0	 Yuh d0n+ l!k3 m3?
0	  Nope not yet :)
0	 still a student??
0	  yes. i do walks all the time
1	 dudde ima fuuck you til you bleed:)
0	  comedy
0	  Apple store!(; Need a MAC pro!
0	 whats your favourite number?
0	 i love youu chica!<33
0	  mhm ohkay so watz up
0	 Vv ouch </3 to me  hey I&;m going to sleep.  Please ignore my texts. And tonight don&;t call. Talk to you tomorrow...I guess
0	 WHY YEW GOT SUSPENDED
1	 haha keep saying shit ill kill you
0	 Are you a friendly person?
0	 Do you believe in luck?
0	  Ummm..Im not  a quitter.
0	 do you no about the muffen man??r
0	 What are your symptoms when you have fallen for someone?
0	 besides english what other languages can you speak?
0	 i miss you so much i just hate how i made you not like me but its my own fault im sorry i just had to say that
0	  when did you ever hear that? haha.i dont even talk to matt.
0	  Korean american i guess. But im the whitest asian chick youd ever talk to :) ha
0	 Alexis Sister<3(:
0	 Have you kissed more than ten people this year?
0	  yes.
0	 What do you think about mothers who smoke pot while they are pregnant?
0	  I dont hold them enough i think..
0	  does it matter
0	  nope. i love tomatoes!
0	 How come there&;s a girl that has your pics? And she put up proof long time ago. In myyearbook.com
1	 Tabi isn&;t fake in anyways  so go suck a fat one. SERIOUSLY. I will beat your ass. I love you Tabi<3 ((:
0	  Hmmm i dont have one right off hand?
0	  Adidas.
0	 what&;s the best thing about your boyfriend?
0	  im his wife :)
0	 Do you have a tattoo  where is it located and what does it stand for?
0	  I love you too iSeeYa(3
0	  What kind of experience are you talking about? And pretty with no experience I guess?
0	 5 favorite things to eat
0	  Guess! haha no its the brand name.
0	  why yess i do.
0	  They've been good :)
0	  Hahaha of c
0	 what does it take to make you smile ?
0	 New york or paris?
0	  yea lol all the time
0	 How many drugs have you done in the past three days?
0	  Be truly Kind to one another.
0	  :) hahah thanksss
0	 If a cannible was on death row could he ask for the last guy that was electricuted for his last meal?
0	 ooo oooo thozz tha sounds u gunnna be makinn ;]]]
0	  ummm. well it'd prolly be for some weird fetish smelling creep so no. just cause. its weird.
0	 what does lol mean?
0	  My heart be broken.
0	 What do you want to see happen before you die?
0	  purple. always
0	  :) Aww!! Yeahh she is my best friend * raphaela * Haha. She is german so i guess thts why! lmao <3
0	  Michael Jackson! haha wait wrong one  Michael Jordon i meant ahah
0	  i didnt know there was an OLD zealand.
1	 Your picture looks shopped...
0	 yyyessss>:))) way to think outside the cheesecake:D wooo goods cuz icecream is the beseeest!!!!  specially with cohoclate syrup aaaaaanndgummy bears woooo:D
0	 You can choose your method of dying and the place in which you will die. Where would you like to die and how?
0	  lololol
0	 hello:)
0	 and then prue &amp; Phoebe from charmed came over but then the robots came back &amp; i had to run but some boy saved me lol #Random
0	  lol iDid
0	 I will be gone for a couple of days.  I&;m moving tomorrow.  The internet is going to be hooked this weekend. So  I shall return in a few days.  If you want to be taken off the list  please send a message in my inbox. Have a good weekend!  =)
0	  O H I O :]
0	 Do you shower in the morning or at night before bed?
0	  Yes haha im not gayy silly (:
0	  I never wear a watch. i dont like time.
0	 If you could fix one thing about your life what would it be?
0	 Where was the last place you visited for days?
0	  Play boiiiii lol jk I dunno? hah
0	 Do you believe that everything happens for a reason?
0	  hmm..not too long i would think..especially if it was bad.
0	 What do you do all day?
0	 When was the last pity party you held for yourself?
0	 What are your day dreams about?
0	  I'm a blunt and funny dancing alien that doesn't care what anyone thinks and loves to have fun. ;]
0	  hmm..popcicles. i dont eat much when its really hot outside.
0	  timmy. wanna. peanut.
0	 do you know how to speak korean?
0	  Maybe...why?
0	 thanks alot hahaha
0	 What&apos;s your favorite flavored Pringles?
0	  Watz ya name lol
0	  ye
0	 have you ever been turnt up?
0	 Can you draw pictures well?
0	  I can be both at times. I usually talk to no end. But theres always a time and a place to be social or to jjust be quite.
0	 What&;s the weirdest thing you&;ve ever eaten?
0	 Do you believe in fate?
1	 Hey  suck it hoe.
0	  mac and cheese
0	  Jet.
0	 what&;s your fave song?
0	  when im telling someone how i feel is so damn tough.
0	 What was the most recent movie that made you cry?
0	  nope
0	 Say your still driving at night and you see a woman on the side of the road screaming for help  do you stop?
0	 Favorite Food
0	 Do you say I Love You to your friends all the time?:
0	 Dude Nishana told me she has a crush on you.
0	 do you ever wish that you could somehow go back in time? and for what reasons  if you dont mind me asking anyway.
0	  Good John John(:
0	  on here? like maybe 15 people or a lil more lol
0	 What&;s the best place near you to get a drink?
0	 Y A Y!!!!!!!!!!!!!!!!!!!! IM SO HAPPY THAT YOU ARE GOING TO NORTH :DDDD YOUR GOING TO LIKE IT WAYYY MORE THAN KING  I PROMISEE!!!!! =]]] I LOVE YOU <3333
0	  depends on the restaurants policies
0	  Miley's a HOOCHIE! BIEBER ALL THEE WAY GHURL!!or boy!<33
0	 Can you do push ups?
0	  Yes. I always cry when I get mad. Its dumb sometimes lol because people think I'm sad and Im sooo not :]
0	  Oh thats wht i think too! dnt be sorry hahaha! Silly goose
0	  Ohh I definantly sit down and talk to him. Seems that he'd be a pretty interesting zombie. haha
0	 how often do you download songs you hear in commercials?
0	  i dont want to  sorry dont take it personal.r but i will answer stuff on formspring.
0	 Can you drive a manual shift vehicle?
0	 Are you double jointed?
0	  i dont think so
0	 do you like spongebob
0	  sour krawt. i hate that stuff for some reason.
0	 Cute default.
0	 What bothers you the most about society?
0	  iDnt even kno who da hell they are
0	  None! haha
0	  Not really. Traits of people that I hate? Most definantly.
0	 Where is your biological mother right now?
0	 Do you sing in the car?
0	  umm short stack 16-04-2010 <3
0	  Nope.
0	 Is there one person that can always make you smile?
0	 Perv or Shy?
0	 hottest guy you have ever seen in real life?
1	 im better tthan youu :)
0	  Share it :) help my parents out. My dad works like a dog and I feel like he tries hardest and barely gets anywhere..and my sister and brothers.
0	 When you drop your phone  Do you get scared it broke? I do >.<
0	 What do you think is your most attractive feature?
0	 If you had to choose between a millions bucks and being able to fly  which would you choose?
0	  hahahahahhaahha :) love you to.
0	 Do you and Timmy have a KI pass? :D
0	  serious? your so lucky
0	  yea :)
0	 Surprise parties u2013 yes  or no? Why or why not?
0	 -Hellz yeahh(: of course i&;m qoinqq i wannah b with you quy&;s  like duhh<3
0	 what was your longest relationship
0	 Who&;s the funniest person you know?
0	 Who do you hate the most?
0	 happy?
1	 i dont givafuck. ur friendless  previously stated in one of my other comments. except for firey  bitch
0	 Do you put cheese on your spaghetti?
0	  Vans  pants  and a shirt haha
0	  Nope  has anyone?
0	  eminem anything! he's whole entire cd willl  be out on th
0	  Look below. I wrote an entire book about how he's the best :] haha
0	 What kind of phone do you want?
0	 !f ! @cC3pT wut yuH qon3 duuuu f@ mii
0	  every one in da book
0	 you got a myspace
0	 Would you rather lose your memory or your vision?
0	 Why do people say &quot;be yourself&quot; then they dislike people for being themselves?
0	  chest and arms haha
0	 Me and Xentury discussed this. If you just got out of a house with a killer and you turn around to see a kid still stuck in the house  do you go back?
0	  Ive only been flipped off once in my entire life and it was when I first started driving. Some guy cut me off coming onto a highway from a ramp..So i flipped my lights to let him know i was there because I had to slam on my brakes. And he flipped me off. r It hurt my feelings and throw a fit anytime im with someone with road rage that flips someone else off. I make them feel bad about why it was even necessary in the first place....hahaha
0	  how crude people are. all people.
0	 Do you de-label your beer bottles?
1	 Your face is such a mess  why don&;t you get your dog something different to chew on?
0	  I would so travel thee world  Visit my overseas besties then shop everywhere!<3
0	 Ay u single ma?
0	 What will make you nervous faster than anything?
0	 Do you get cold sores often?:
0	 How did your parents ever explain to you how babies were made? Did they give the bees &amp; flowers speech or said the whole truth?
0	 What are 3 things that you consider humanely impossible and NEVER being exploited successfully?  Or is anything possible? Explain.
0	  Nope.
0	  dogs.
0	  yes
0	 If I had my legs amputated  would I have to change my height and weight on my driver&apos;s license?
0	  worse? that there isn't.
0	  Hmm. how to cut people in half. hahahha
0	 Any Living Grandparents ??
0	  have babies :) hahah that is pretty crazy.
0	 What would you do if you lost your bathing suit while you were swimming?
0	 What is your favorite kind of potato chip?
0	  idk but thats a good question. i always wonder the same thing. and why the parents allow them to be in it in the first place?
0	 Name the clothing store you shop at the most?
0	 Are you more of a talker or more of a listener?
0	 Have you ever been bitten by a dog?
0	  :) omg thanks! :D
0	  no i didn't actually
0	  nahhh
0	 Do any of your friends have children?
0	 Do you think famous people have the right to have a private life?
0	  haha okay. i think its funny i dont care.
0	  No other than the most recent question about if I start conversations with ppl I just met. lol weird you ask. whyy?
0	  My best friend is married to a guy that has a little 2 year old girl
0	 When did you last receive a text message?
0	 he&;s like a curse r he&;s like a drug r you&;ll get addicted to his lover you wanna get out but he&;s holdin you down r r sing it babe!!! :)
0	 Last event you dressed up for?
0	  Ostratrich
0	  Justin Bieber or Channing Tatum! haha yumm!
1	 stop acting like you know everything. your fat. get over yourself you mouthy slag :L and no your not better then everyone else! (:
0	  nahhh
1	 Learn how to spell? Learn how to tell apart a typo from a spelling error.   And learn how to be a proper fake.
0	 Do Chinese people get English sayings tattooed on their bodies?
0	 You should ignore all those comments people send to you. Everyone knows you don&;t fake yourself  and they just want to be like you. You&;re very pretty  and I know I&;m jealous of my cousin :]
0	 Do you have a garden?
0	 How would you describe your style?
0	 Do you scream on rollercoasters?
0	  dry erase.
0	 Do you likee chicks?
0	 are you a filipina??or a foreigner??
0	 are you able to act like yourself around other people with your girlfriend
0	 timmeh?
0	 do humming birds hum because they dont know the words
0	 YO YO YO whaaa chuuu doooinnn guuurrrrrrlllll?????????
0	  dont have one
0	 hahahah  I love your Bio (; OH OH OH question.. WHY CAN&;T PEOPLE SPELL?! VV (:
0	 Is someone on your mind right now?
0	 Why do they put crutons in an air tight sealed bag? They are just pieces of stale bread to begin with  right?
0	  i loveeeee my chocolate man ;) lmao <3
0	 What would you do if you found the wallet of your next-door neighbor who you hated?
0	 Were you ever physically abused?:
0	  yes.
0	  People keep talking about me on your page :/
0	  Night 4shuree!!
0	  My fav song girly!!! is umm.. Up &amp; Running by @jessicajarrell atm! But i have lots :) hbu!?
0	 Do you have a tan?
0	 Current worry?
0	  ummmm  people tell me i am. but i dont really show alot of people my stuff.
0	  Julia Roberts.
0	  Possibly
0	  okay
0	  help a lot of people in need.
0	 would you ever consider dateing a girl?
0	 Favorite daytime talk show host?
0	  because they dont care
0	  Once.
0	  nahh
0	 Why isnt there a mouse flavoured cat food?
0	  Being able to fly!!!!!!!!!!! :] but it would have to be all the time hahahha
0	  lol wow...it dnt mata wat ya guna do for mi??
0	 iloveeyou(:
0	  panama city  FL.
0	  (: ahaha hii ceara..
0	  he is really cute.
0	  My bestest.
0	  well its real meaning is a female dog. :) ahhahar but I would define it as:r An inconsiderate person that doesn't care what people think nor if or how they hurt another persons feelings. Someone who is usually insecure of themselves and have to put other people down to make themselves feel better about ones self. hahaha
0	 What&;s the longest you&;ve ever gone without a bath or shower?
0	  paris hilton
0	 Could you ever shoot someone if they were trying to kill you?
0	 Nicoooo! :) okay...welllllll bye :)
0	  repeat question
0	  hi:) how are u haha.
0	  Hahhahaha
0	  The reject shop....lol joking ummmm supre possibly i dont no. lol
0	  Yes i suppose.
0	 If the professor on Giligan&apos;s Island can make a radio out of coconut  why can&apos;t he fix a hole in a boat?
0	  well i know who this is..
0	  hmmm...my first
0	 i like yur bg
0	  Thats funny. Nothing yet. But im hungry now that you mention it :]
0	  dui.
0	  Who is this?
0	 Are you eating anything right now?
0	  YEAH!!! I don't understand why people don't tell others about that kind of stuff??!?!? It drives me crazy. Everyone would want someone to tell them if it were happening to them!!
0	 what&;s something you&;d change about urself?
0	 Snobby small minded people live everywhere ... you can be that way .. i can be that way ... its not just in Texas ... soo yeahhh
0	  tv.....u can watch stuff thats been on tv on the computer :D
0	  ashlee 13 florida 7th
0	  i guesss so. ha
0	  jansport :)
0	  :[ computers are dumb sometimes. and yup you too! I had like 110 because of you :] Well and cause I didnt get on all weekend..haha
0	  have too! :) it makes it so much more fun.
0	 YOU NEVER CALLED ME.
0	  yes again. for not coming back to class. haha
0	 do you lie alot?
0	 Where would you bury hidden treasure if you had some?
0	  a tonn :] I don't think my bf can hug me enough sometimes
0	  yes.
0	  hmmmmmmmmmmmmmmmmmmmmmm
0	 Is there anything weird that you do?
0	  yes very much lol =]
0	 if u won 30 millon what would u do firstr
